Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
Maldives,MDV,"Population, total",SP.POP.TOTL,311265,327487,335169,343452,353398,365734,380495
Mali,MLI,Gini index (World Bank estimate),SI.POV.GINI,..,38.9,..,..,33,..,..
Mali,MLI,"Population, total",SP.POP.TOTL,12369070,13203378,13651464,14113577,14581429,15049353,15514591
Malta,MLT,Gini index (World Bank estimate),SI.POV.GINI,..,28,29.2,29,30.2,29,29.1
Malta,MLT,"Population, total",SP.POP.TOTL,401268,405308,406724,409379,412477,414508,416268
Marshall Islands,MHL,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,54476,55767,56051,56174,56250,56366,56531
Mauritania,MRT,Gini index (World Bank estimate),SI.POV.GINI,40.2,..,..,35.7,..,..,..
Mauritania,MRT,"Population, total",SP.POP.TOTL,2939247,3111906,3202517,3296238,3393409,3494195,3598648
Mauritius,MUS,Gini index (World Bank estimate),SI.POV.GINI,..,35.7,..,..,..,..,..
Mauritius,MUS,"Population, total",SP.POP.TOTL,1221003,1233996,1239630,1244121,1247429,1250400,1252404
"Micronesia, Fed. Sts.",FSM,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,106625,105371,104444,103543,102975,102911,103450
Moldova,MDA,Gini index (World Bank estimate),SI.POV.GINI,35,35.4,34.4,34.7,32.9,32.1,30.6
Moldova,MDA,"Population, total",SP.POP.TOTL,2895147,2880095,2873429,2867964,2864346,2861487,2859833
Monaco,MCO,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Monaco,MCO,"Population, total",SP.POP.TOTL,33500,34190,34525,34872,35226,35612,36024
Mongolia,MNG,Gini index (World Bank estimate),SI.POV.GINI,..,..,35.8,..,..,33.1,33.9
Mongolia,MNG,"Population, total",SP.POP.TOTL,2496391,2558856,2593820,2631898,2673796,2719896,2770362
Montenegro,MNE,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Montenegro,MNE,"Population, total",SP.POP.TOTL,613353,615025,615875,616969,618294,619428,620079
Morocco,MAR,Gini index (World Bank estimate),SI.POV.GINI,..,40.7,..,..,..,..,..
Morocco,MAR,"Population, total",SP.POP.TOTL,30115214,30804683,31163673,31536811,31929087,32343389,32781850
Mozambique,MOZ,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,45.6,..,..,..
Mozambique,MOZ,"Population, total",SP.POP.TOTL,19910552,21080110,21673316,22276596,22894710,23531574,24187487
Myanmar,MMR,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Myanmar,MMR,"Population, total",SP.POP.TOTL,48564484,49301050,49621475,49929642,50250367,50600818,50990615
Namibia,NAM,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,61,..,..
Namibia,NAM,"Population, total",SP.POP.TOTL,1907745,1971317,2006514,2043394,2081044,2118874,2156701
Nauru,NRU,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Nauru,NRU,"Population, total",SP.POP.TOTL,9902,9828,9842,9891,9939,10005,10057
Nepal,NPL,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,32.8,..
Nepal,NPL,"Population, total",SP.POP.TOTL,25419344,26066693,26382581,26666576,26883535,27013212,27041437
New Caledonia,NCL,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
New Caledonia,NCL,"Population, total",SP.POP.TOTL,228750,235750,239250,242750,245950,249750,254350
New Zealand,NZL,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
New Zealand,NZL,"Population, total",SP.POP.TOTL,4087500,4184600,4223800,4259800,4302600,4350700,4384000
Nicaragua,NIC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,43.9,..,..
Nicaragua,NIC,"Population, total",SP.POP.TOTL,5364935,5513763,5590055,5667432,5745526,5824065,5903039
Niger,NER,Gini index (World Bank estimate),SI.POV.GINI,..,..,37.3,..,..,..,31.5
Niger,NER,"Population, total",SP.POP.TOTL,13125916,14143971,14685399,15250908,15843133,16464025,17114761
Nigeria,NGA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,43,..,..
Nigeria,NGA,"Population, total",SP.POP.TOTL,135320422,142538308,146339977,150269623,154324933,158503197,162805071
North Macedonia,MKD,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,42.8,40.2,39.4
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2057048,2063131,2065426,2067313,2069039,2070741,2072487
Northern Mariana Islands,MNP,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,57246,55882,55219,54625,54193,53971,54012
Norway,NOR,Gini index (World Bank estimate),SI.POV.GINI,31.6,26.4,27.1,27,26.2,25.7,25.3
Norway,NOR,"Population, total",SP.POP.TOTL,4591910,4660677,4709153,4768212,4828726,4889252,4953088
Oman,OMN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Oman,OMN,"Population, total",SP.POP.TOTL,2445517,2580758,2657158,2750963,2876186,3041434,3251108
Pakistan,PAK,Gini index (World Bank estimate),SI.POV.GINI,32.5,..,31.6,..,..,29.8,30.9
Pakistan,PAK,"Population, total",SP.POP.TOTL,156664697,164022627,167808105,171648986,175525609,179424641,183340592
Palau,PLW,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Palau,PLW,"Population, total",SP.POP.TOTL,19867,19540,19158,18704,18285,17955,17745
Panama,PAN,Gini index (World Bank estimate),SI.POV.GINI,54.8,54.6,52.7,52.7,51.8,51.6,51.3
Panama,PAN,"Population, total",SP.POP.TOTL,3269356,3391666,3453675,3516204,3579215,3642687,3706483
Papua New Guinea,PNG,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,41.9,..,..
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,6354245,6646895,6808514,6976201,7144776,7310507,7472200
Paraguay,PRY,Gini index (World Bank estimate),SI.POV.GINI,52.3,53,53,50.7,49.1,51,52.3
Paraguay,PRY,"Population, total",SP.POP.TOTL,5730549,5913209,5998427,6081296,6163972,6248020,6333976
Peru,PER,Gini index (World Bank estimate),SI.POV.GINI,49.9,50.3,50,47.5,47,45.5,44.7
Peru,PER,"Population, total",SP.POP.TOTL,27624213,28102056,28333052,28562317,28792655,29027674,29264318
Philippines,PHL,Gini index (World Bank estimate),SI.POV.GINI,..,47.2,..,..,46.3,..,..
Philippines,PHL,"Population, total",SP.POP.TOTL,84710542,87888675,89405482,90901965,92414158,93966780,95570047
Poland,POL,Gini index (World Bank estimate),SI.POV.GINI,38,34.7,34,33.5,33.4,33.2,33.2
Poland,POL,"Population, total",SP.POP.TOTL,38182222,38141267,38120560,38125759,38151603,38042794,38063255
Portugal,PRT,Gini index (World Bank estimate),SI.POV.GINI,38.9,38.1,36.8,36.6,34.9,35.8,36.3
Portugal,PRT,"Population, total",SP.POP.TOTL,10483861,10522288,10542964,10558177,10568247,10573100,10557560
Puerto Rico,PRI,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3826878,3805214,3782995,3760866,3740410,3721525,3678732
Qatar,QAT,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Qatar,QAT,"Population, total",SP.POP.TOTL,753334,1022711,1218434,1436665,1654950,1856327,2035871
Romania,ROU,Gini index (World Bank estimate),SI.POV.GINI,..,39.6,37.5,36.4,35.6,35.5,35.9
Romania,ROU,"Population, total",SP.POP.TOTL,21451748,21193760,20882982,20537875,20367487,20246871,20147528
Rwanda,RWA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,47.2,..
Rwanda,RWA,"Population, total",SP.POP.TOTL,8680524,9043337,9273757,9524534,9782770,10039338,10293331
Samoa,WSM,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,42,..,..,..
Samoa,WSM,"Population, total",SP.POP.TOTL,178590,180876,182046,183263,184556,185949,187469
San Marino,SMR,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
San Marino,SMR,"Population, total",SP.POP.TOTL,28940,29700,30063,30434,30816,31229,31661
Sao Tome and Principe,STP,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,30.8,..
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,153737,161681,166300,171120,175876,180371,184524
Senegal,SEN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,40.3
Senegal,SEN,"Population, total",SP.POP.TOTL,10810083,11382268,11687080,12004701,12335084,12678148,13033809
Serbia,SRB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Serbia,SRB,"Population, total",SP.POP.TOTL,7463157,7411569,7381579,7350222,7320807,7291436,7234099
Seychelles,SYC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Seychelles,SYC,"Population, total",SP.POP.TOTL,82475,84600,85033,86956,87298,89770,87441
Sierra Leone,SLE,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,34
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,5433991,5829237,5989633,6133603,6272734,6415634,6563240
Singapore,SGP,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Singapore,SGP,"Population, total",SP.POP.TOTL,4166664,4401365,4588599,4839396,4987573,5076732,5183688
Sint Maarten (Dutch part),SXM,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,32488,33441,33811,33964,34238,34056,33435
Slovak Republic,SVK,Gini index (World Bank estimate),SI.POV.GINI,27.1,25.8,24.7,26,27.2,27.3,26.5
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5372280,5373054,5374622,5379233,5386406,5391428,5398384
Slovenia,SVN,Gini index (World Bank estimate),SI.POV.GINI,24.8,24.4,24.4,23.7,24.8,24.9,24.9
Slovenia,SVN,"Population, total",SP.POP.TOTL,1997012,2006868,2018122,2021316,2039669,2048583,2052843
Solomon Islands,SLB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,458539,481078,492132,503360,515181,527861,541521
Somalia,SOM,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Somalia,SOM,"Population, total",SP.POP.TOTL,10130243,10763905,11080121,11397188,11717692,12043883,12376302
South Africa,ZAF,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,63,..,63.4,..
South Africa,ZAF,"Population, total",SP.POP.TOTL,47291610,48489459,49119759,49779471,50477011,51216964,52004172
South Sudan,SSD,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,46.3,..,..
South Sudan,SSD,"Population, total",SP.POP.TOTL,7213351,7907406,8315139,8736939,9142259,9508364,9830698
Sri Lanka,LKA,Gini index (World Bank estimate),SI.POV.GINI,..,40.3,..,..,36.4,..,..
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,19387153,19695972,19842044,19983984,20123508,20261737,20398670
St. Kitts and Nevis,KNA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,46323,47333,47769,48178,48599,49011,49442
St. Lucia,LCA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
St. Lucia,LCA,"Population, total",SP.POP.TOTL,161816,165381,167639,170011,172221,174085,175544
St. Martin (French part),MAF,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,33186,35237,36137,36885,37377,37582,37446
St. Vincent and the Grenadines,VCT,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,108512,108603,108518,108393,108287,108255,108316
Sudan,SDN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,35.4,..,..
Sudan,SDN,"Population, total",SP.POP.TOTL,30214193,31661823,32360621,33060837,33783788,34545013,35349681
Suriname,SUR,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Suriname,SUR,"Population, total",SP.POP.TOTL,493680,505292,511181,517122,523113,529126,535177
Sweden,SWE,Gini index (World Bank estimate),SI.POV.GINI,26.1,26.4,27.1,28.1,27.3,27.7,27.6
Sweden,SWE,"Population, total",SP.POP.TOTL,8993531,9080505,9148092,9219637,9298515,9378126,9449213
Syrian Arab Republic,SYR,Gini index (World Bank estimate),SI.POV.GINI,35.8,..,..,..,..,..,..
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,17827825,19059258,19878254,20664038,21205873,21362529,21082966
Tajikistan,TJK,Gini index (World Bank estimate),SI.POV.GINI,33.6,..,32.2,..,30.8,..,..
Tajikistan,TJK,"Population, total",SP.POP.TOTL,6662389,6922587,7062672,7209930,7364753,7527394,7697510
Tanzania,TZA,Gini index (World Bank estimate),SI.POV.GINI,..,..,40.3,..,..,..,37.8
Tanzania,TZA,"Population, total",SP.POP.TOTL,37379767,39548663,40681414,41853944,43073834,44346525,45673338
Thailand,THA,Gini index (World Bank estimate),SI.POV.GINI,42.5,41.8,39.8,40.3,39.6,39.4,37.5
Thailand,THA,"Population, total",SP.POP.TOTL,64995299,65812536,66182067,66530984,66866839,67195028,67518382
Timor-Leste,TLS,Gini index (World Bank estimate),SI.POV.GINI,..,..,27.8,..,..,..,..
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,971893,1016432,1036392,1055431,1074277,1093523,1113151
Togo,TGO,Gini index (World Bank estimate),SI.POV.GINI,..,42.2,..,..,..,..,46
Togo,TGO,"Population, total",SP.POP.TOTL,5467766,5762880,5920359,6083420,6250835,6421679,6595943
Tonga,TON,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,37.5,..,..
Tonga,TON,"Population, total",SP.POP.TOTL,100218,101706,102581,103379,103890,103986,103562
Trinidad and Tobago,TTO,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1290123,1302561,1308451,1314443,1320930,1328147,1336178
Tunisia,TUN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,35.8,..
Tunisia,TUN,"Population, total",SP.POP.TOTL,10022277,10201214,10304726,10414433,10525694,10635244,10741880
Turkmenistan,TKM,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,4703401,4810109,4870141,4935767,5007954,5087213,5174085
Turks and Caicos Islands,TCA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,26700,29391,30385,31202,31934,32660,33377
Tuvalu,TUV,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,39.1,..
Tuvalu,TUV,"Population, total",SP.POP.TOTL,9869,10120,10221,10314,10424,10530,10633
Uganda,UGA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,44.2,..,..
Uganda,UGA,"Population, total",SP.POP.TOTL,26821297,28571475,29486338,30431736,31411096,32428167,33476919
Ukraine,UKR,Gini index (World Bank estimate),SI.POV.GINI,28.9,29.8,27,26.6,25.3,24.8,24.6
Ukraine,UKR,"Population, total",SP.POP.TOTL,47451626,46787786,46509355,46258189,46053331,45870741,45706086
United Arab Emirates,ARE,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,4068570,5300174,6168838,7089487,7917372,8549988,8946777
Uruguay,URY,Gini index (World Bank estimate),SI.POV.GINI,45.8,45.9,46.4,45.1,45.5,44.5,42.1
Uruguay,URY,"Population, total",SP.POP.TOTL,3321476,3325401,3331749,3340221,3349676,3359275,3368934
Uzbekistan,UZB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,25864350,26488250,26868000,27302800,27767400,28562400,29339400
Vanuatu,VUT,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,37.6,..
Vanuatu,VUT,"Population, total",SP.POP.TOTL,204127,214370,219472,224704,230247,236211,242653
"Venezuela, RB",VEN,Gini index (World Bank estimate),SI.POV.GINI,49.8,46.9,..,..,..,..,..
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,25996594,26850194,27247610,27635832,28031009,28439940,28888369
Vietnam,VNM,Gini index (World Bank estimate),SI.POV.GINI,36.8,35.8,..,35.6,..,39.3,..
Vietnam,VNM,"Population, total",SP.POP.TOTL,83062821,84617540,85419591,86243413,87092252,87967651,88871561
Virgin Islands (U.S.),VIR,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,108467,108371,108339,108399,108405,108358,108292
West Bank and Gaza,PSE,Gini index (World Bank estimate),SI.POV.GINI,34,34,35.6,..,34.5,35.3,34.4
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,3236626,3406334,3494496,3591977,3689099,3786161,3882986
"Yemen, Rep.",YEM,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,19540098,20687646,21282515,21892146,22516460,23154855,23807588
Zambia,ZMB,Gini index (World Bank estimate),SI.POV.GINI,54.3,54.6,..,..,..,55.6,..
Zambia,ZMB,"Population, total",SP.POP.TOTL,11550642,12173514,12502958,12848530,13215139,13605984,14023193
Zimbabwe,ZWE,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,43.2
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,12019912,12155491,12255922,12379549,12526968,12697723,12894316
Arab World,ARB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Arab World,ARB,"Population, total",SP.POP.TOTL,307862843,322452754,330290716,338395961,346629220,354890042,363158703
Caribbean small states,CSS,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,6696953,6788114,6833384,6878970,6925454,6973196,7022380
Central Europe and the Baltics,CEB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,106331716,105772481,105378748,105001883,104800475,104421447,104174038
Early-demographic dividend,EAR,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,2646483566,2733278833,2776922496,2820636594,2864298836,2907916908,2951429046
East Asia & Pacific,EAS,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2115458616,2146744075,2161785573,2177119142,2192059415,2206884624,2221673110
East Asia & Pacific (excluding high income),EAP,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,1880248895,1909891462,1924018226,1938057249,1952017409,1965954304,1980035609
East Asia & Pacific (IDA & IBRD countries),TEA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,1856486252,1885806859,1899800530,1913718210,1927560609,1941377349,1955334267
Euro area,EMU,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Euro area,EMU,"Population, total",SP.POP.TOTL,327682505,330922789,332645165,334274725,335360890,336151479,335419643
Europe & Central Asia,ECS,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,868808156,874157201,877300672,880829122,884469375,887926820,890162706
Europe & Central Asia (excluding high income),ECA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,370083723,371318140,372332605,373751805,375674687,377835769,380165082
Europe & Central Asia (IDA & IBRD countries),TEC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,434022293,434964326,435646364,436725144,438498958,440420861,442656487
European Union,EUU,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
European Union,EUU,"Population, total",SP.POP.TOTL,434040236,436998049,438468400,439876674,440917800,441532412,440746976
Fragile and conflict affected situations,FCS,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,558207668,587009010,601759996,616786947,632127588,647810261,663884474
Heavily indebted poor countries (HIPC),HPC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,528444632,558909236,574560260,590590368,607115564,624219326,641921311
High income,HIC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
High income,HIC,"Population, total",SP.POP.TOTL,1129635679,1145660099,1154287212,1163465944,1171805563,1179329058,1184722242
IBRD only,IBD,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
IBRD only,IBD,"Population, total",SP.POP.TOTL,4166322557,4253873147,4296873733,4340024679,4383703298,4427061901,4471055917
IDA & IBRD total,IBT,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,5352930962,5497791204,5570347406,5643601079,5717826465,5792408543,5867932121
IDA blend,IDB,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
IDA blend,IDB,"Population, total",SP.POP.TOTL,395320114,414232526,424192635,434469613,444998521,456049562,467268096
IDA only,IDX,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
IDA only,IDX,"Population, total",SP.POP.TOTL,791288291,829685531,849281038,869106787,889124646,909297080,929608108
IDA total,IDA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
IDA total,IDA,"Population, total",SP.POP.TOTL,1186608405,1243918057,1273473673,1303576400,1334123167,1365346642,1396876204
Late-demographic dividend,LTE,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2100746529,2127750972,2140907330,2154245139,2167842734,2180828823,2193830154
Latin America & Caribbean,LCN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,549590595,563337673,570091451,576783744,583430031,589932554,596538552
Latin America & Caribbean (excluding high income),LAC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,520642948,533896504,540405225,546848929,553244958,559496778,565881766
Latin America & the Caribbean (IDA & IBRD countries),TLA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,533415168,547139425,553909968,560624659,567289601,573800630,580428962
Least developed countries: UN classification,LDC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,726331177,762132501,780219542,798563392,817322629,836614860,856472234
Low & middle income,LMY,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Low & middle income,LMY,"Population, total",SP.POP.TOTL,5301915963,5447074438,5519916433,5593451949,5667768723,5742542545,5818138003
Low income,LIC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Low income,LIC,"Population, total",SP.POP.TOTL,449765047,475927007,489505419,503324676,517267751,531260028,545266258
Lower middle income,LMC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Lower middle income,LMC,"Population, total",SP.POP.TOTL,2310951151,2389129523,2428529757,2468136919,2507929642,2548154994,2588455505
Middle East & North Africa,MEA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,340143481,354302463,361929136,369823252,377883993,385917886,393944527
Middle East & North Africa (excluding high income),MNA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,299502774,310109412,315573347,321168767,326900984,332777824,338814807
Middle East & North Africa (IDA & IBRD countries),TMN,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,296266148,306703078,312078851,317576790,323211885,328991663,334931821
Middle income,MIC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Middle income,MIC,"Population, total",SP.POP.TOTL,4852150916,4971147431,5030411014,5090127273,5150500972,5211282517,5272871745
North America,NAC,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
North America,NAC,"Population, total",SP.POP.TOTL,324809693,331015609,334185120,337406357,340466060,343391679,345960766
Not classified,INX,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Not classified,INX,"Population, total",SP.POP.TOTL,..,..,..,..,..,..,..
OECD members,OED,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
OECD members,OED,"Population, total",SP.POP.TOTL,1232647024,1250788452,1260210152,1270059584,1279114140,1287527865,1294064030
Other small states,OSS,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Other small states,OSS,"Population, total",SP.POP.TOTL,22442101,23486218,24104670,24762406,25417830,26050942,26647962
Pacific island small states,PSS,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2050572,2100869,2128664,2157454,2186314,2214519,2241798
Post-demographic dividend,PST,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1041075168,1052054839,1057981931,1064394156,1069878414,1074865103,1077815367
Pre-demographic dividend,PRE,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,617518671,653695022,672318833,691447610,711257522,731868772,753326798
Small states,SST,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Small states,SST,"Population, total",SP.POP.TOTL,31189626,32375201,33066718,33798830,34529598,35238657,35912140
South Asia,SAS,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
South Asia,SAS,"Population, total",SP.POP.TOTL,1493757846,1543610696,1568003159,1592010819,1615610198,1638792934,1661534412
South Asia (IDA & IBRD),TSA,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1493757846,1543610696,1568003159,1592010819,1615610198,1638792934,1661534412
Sub-Saharan Africa,SSF,Gini index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,738983255,779566820,800908534,822945457,845655214,869025106,893046172
